Authors,Title,Year,Source title,Page count,Cited by,Abstract,Affiliations,Author Keywords,Index Keywords,Article Type,Document Type,Topic Domain,Level of IS Phenomenon,Geography,Ethics Paper Type,Ethics Theory Applied,Research Method,Contribution Type,Industry Setting,Mentions Metaethics,Mentions EvoBiology,Mentions TheologyGod,Mentions LegalProfessionalDuty,"
Metaethical Position",Explicitness
Dulipovici A.; Baskerville R.,Conflicts between privacy and property: The discourse in personal and organizational knowledge,2007,Journal of Strategic Information Systems,26,31,"The paper critically examines knowledge ownership when personal or organizational knowledge is transferred between individuals or between individuals and organizations. Employing a form of discourse analysis, we analyse the data from three complementary perspectives (international treaties and conventions on privacy and intellectual property, employment and merchant account contracts, and verdicts from knowledge-related legal cases) to unveil the conflicts between privacy and property rights. The results show a dialectical view where ownership shifts between the individual and the organization/community and therefore, the individual may or may not necessarily own what he knows. Privacy and property have been central issues in computational ethics for more than two decades. The use of information systems for strategic purposes offers new challenges for these established ethical concepts. Knowledge is not only a form of property governed by intellectual property law; it is also an individual attribute and, as part of the personality, it may be governed by privacy law. As a result, the dialectical view also shows that the ownership shift between the individual and the organization/community means that the organization may or may not necessarily own what it knows. © 2007 Elsevier B.V. All rights reserved.","Georgia State University, Department of Computer Information Systems, Atlanta, GA 30302-4015, P.O. Box 4015, United States",Knowledge transfer; Organizational knowledge; Personal knowledge; Privacy rights; Property rights; Strategic knowledge,Computational methods; Data reduction; Intellectual property; Knowledge acquisition; Knowledge transfer; Organizational knowledge; Personal knowledge; Privacy rights; Property rights; Strategic knowledge; Data privacy,Research article,Article,Knowledge transfer,Organization; individual,Global,Normative,Deontology; consequentialism,Discourse analysis,Theoretical,Cross sectoral,0,0,0,1,Cognitivism,Implicit
Stahl B.C.,The ethical nature of critical research in information systems,2008,Information Systems Journal,26,89,"Critical research in information systems is based on and inspired by ethics and morality. In order to support this proposition, this paper will suggest a way of classifying critical research that differs from definitions common IS research. According to the current definition, research is critical when it is motivated by the intention to change social realities and promote emancipation. Based on this critical intention, critical research is furthermore characterized by critical topics, critical theories, and critical methodologies. Using these criteria of critical research, the paper argues that critical research is ethical in nature. To support this view, the paper introduces the concepts of ethics and morality by analysing two traditions of moral philosophy, here called the 'German tradition' and the 'French tradition'. Using three examples of current critical research in information systems, the paper will show that ethics and morality strongly influence critical intention, topics and theories. Having thus established the ethical nature of critical research, the paper concludes by discussing the weaknesses of critical research from the point of view of ethics and morality. © 2008 Blackwell Publishing Ltd.","Faculty of Computer Science and Engineering, Centre for Computing and Social Responsibility, De Montfort University, Leicester LE1 9BH, The Gateway, United Kingdom",Critical research; Ethics; Foucault; Habermas; Morality,,Research article,Article,IS discipline,Social,Global,Normative,Deontology; discourse ethics; French moralism,Conceptual analysis,Theoretical,Disciplinary,0,0,0,0,Cognitivism,Implicit
Son J.-Y.; Kim S.S.,Internet users' information privacy-protective responses: A Taxonomy and a nomological model,2008,MIS Quarterly: Management Information Systems,26,484,"Although Internet users are expected to respond in various ways to privacy threats from online companies, little attention has been paid so far to the complex nature of how users respond to these threats. This paper has two specific goals in its effort to fill this gap in the literature. The first, so that these outcomes can be systematically investigated, is to develop a taxonomy of information privacy-protective responses (IPPR). This taxonomy consists of six types of behavioral responses - refusal, misrepresentation, removal, negative word-of-mouth, complaining directly to online companies, and complaining indirectly to third-party organizations - that are classified into three categories: information provision, private action, and public action. Our second goal is to develop a nomological model with several salient antecedents - concerns for information privacy, perceived justice, and societal benefits from complaining - of IPPR, and to show how the antecedents differentially affect the six types of IPPR. The nomological model is tested with data collected from 523 Internet users. The results indicate that some discernible patterns emerge in the relationships between the antecedents and the three groups of IPPR. These patterns enable researchers to better understand why a certain type of IPPR is similar to or distinct from other types of IPPR. Such an understanding could enable researchers to analyze a variety of behavioralresponses to information privacythreats in a fairly systematic manner. Overall, this paper contributes to researchers' theory-building efforts in the area of information privacy by breaking new ground for the study of individuals ' responses to information privacy threats.","School of Business, Yonsei University, Seodaemoon-ku Seoul 120-749, 134 Shinchon-Dong, South Korea; School of Business, University of Wisconsin, Madison, Madison, WI 53706, 975 University Avenue, United States",Causal model; Ethical issues; Information privacy; Information privacy concerns; Responses to information privacy threats; Structural equation modeling,Management information systems; Causal model; Ethical issues; Information privacy; Information privacy concerns; Structural equation modeling; Taxonomies,Research article,Article,Privacy,Individual,USA,Empirical descriptive,Justice theory,Survey; SEM,Theoretical; empirical,E-business,0,0,0,1,Subjectivism; Naturalism,Implicit
Córdoba J.-R.,Critical reflection in planning information systems: A contribution from critical systems thinking,2009,Information Systems Journal,24,34,"This paper presents a methodological framework to support the process of information systems (IS) planning in organizations. It draws on the ideas of critical systems thinking (CST), a research perspective that encourages the analysis of stakeholders' understandings prior to the selection and implementation of planning methods. The framework emphasizes continuous identification of concerns from stakeholders, and facilitates critical reflection in the exploration of possibilities for improvement. Some of these possibilities might require the support of IS and communication technologies. To define the framework, two systems theories are used: boundary critique and autopoiesis. The first one enables critical reflection on values and assumptions about potential situations or marginalization. The second one fosters continuous dialogue, listening and mutual collaboration between participants. With these theories, the framework enables people to reflect on issues of inclusion, exclusion and marginalization, and to participate in the design of plans for improvement. Ultimately, the definition of this framework suggests the importance of critical reflection about ethics to improve the practice of IS planning. © 2008 Blackwell Publishing Ltd.","Centre for Systems Studies, Business School, University of Hull, Hull, HU6 7RX, Cottingham Road, United Kingdom",Autopoiesis; Boundary critique; Critical systems thinking; Ethics; Improvement; Information systems planning,,Research article,Article,IS implementation,Organization,Colombia,Normative,Critical systems ethics; Foucault,Interpretive case study,Theoretical,Education,0,0,0,0,Cognitivism; Anti-realism; Relativism,Implicit
Davison R.M.; Martinsons M.G.; Ou C.X.J.; Murata K.; Drummond D.; Li Y.; Lo H.W.H.,The ethics of IT professionals in Japan and China,2009,Journal of the Association for Information Systems,25,39,"The ethical integrity and accountability of Information Technology (IT) professionals is important given our reliance on various forms of IT. We examined the applicability of Lawrence Kohlberg's theory of Cognitive Moral Development (CMD) in non-Western contexts by investigating the ethical values of IT professionals in Asia's two largest economies. Analysis of survey data from Japan (n=289) and China (n=290) indicates support for the basic six-stage model of CMD. The concept of abiding by universal laws and rules (termed stage 4 reasoning by Kohlberg) was widely accepted by IT professionals in both Japan and China, despite the Confucian cultural emphasis on personal relationships with particularistic obligations. However, differences between Japanese and Chinese IT professionals were found while, in direct contrast with the stage-wise theory of CMD, the respondents from Japan and especially China exhibited significant volatility, reasoning at different stages simultaneously. The implications of these findings for research and practice are discussed. © 2009, by the Association for Information Systems.","City University of Hong Kong, Hong Kong; The Hong Kong Polytechnic University, Hong Kong; Meiji University, Hong Kong; Ritsumeikan Asia Pacific University, Japan; McGill University, Canada",,Ethical values; Information technology professionals; Japan and China; Kohlberg; Kohlberg's theory; Moral development; Six stages; Stage models; Survey data; Value of information; Philosophical aspects,,Article,IS ethics,Individual,Asia,Empirical descriptive,Kohlberg,Survey; scenarios,Empirical,IT,0,0,0,1,Cognitivism; Cultural Relativism,Implicit
Chatterjee S.; Sarker S.; Fuller M.A.,A deontological approach to designing ethical collaboration,2009,Journal of the Association for Information Systems,31,46,"A core focus of Collaboration Engineering (CE) research has been to design and deploy codified fundamental building blocks (artifacts) of collaboration, thus making it possible for practitioner groups to collaborate even without the help of a professional facilitator. Given the fundamentally social nature of collaboration, we believe that designing such fundamental blocks (artifacts) needs to include considerations of participants' ethical values. As such, we propose a conceptual schema for a fundamental artifact having ethical features derived from the deontological view of ethics. Based on the notions of design theory, valuesensitive design, and deontological ethics, this paper develops an object-oriented representation of an Ethical Collaboration class that can be instantiated into objects that, in turn, can serve as fundamental building blocks for ethical collaboration. Contributions and future implications of such a conceptualization are also discussed. © 2009, by the Association for Information Systems.","Millikin University, United States; Washington State University, United States",Collaboration; Deontological perspective; Design theory; Ethics; Modeling; Object-oriented approach; Value-sensitive design,Architectural design; Models; Collaboration; Deontological perspective; Design theory; Ethics; Object oriented approach; Value sensitive design; Philosophical aspects,Research article,Article,Ethical IS design,Organization,Global,Normative,Deontology; value-sensitive design; virtue ethics; consequentialism,Conceptual analysis,Conceptual,Cross sectoral,0,0,0,1,Constructivism; Realism,Implicit
Chatterjee S.; Sarker S.; Fuller M.,Ethical information systems development: A baumanian postmodernist perspective,2009,Journal of the Association for Information Systems,28,46,"The paper offers a critique of traditional methodical approaches to Information Systems Development (ISD), arguing that a number of assumptions (for example, universality and rationality) underlying these approaches lead to incomplete ontological and epistemological considerations, and thereby contribute to IS failures in many cases. The paper proposes that ethical analysis undertaken in conjunction with traditional ISD approaches may be a way to address some of the limitations experienced during traditional ISD. Drawing upon ideas from postmodern ethics formulated by Zygmunt Bauman, the paper argues that increased focus on the moral responsibility of key ISD players (such as the team of analysts) may improve the ISD process. Finally, this paper suggests how, consistent with the postmodern stance, such moral responsibility can be implemented in the context of ISD. The paper concludes with the contributions and future implications of this research. © 2009, by the Association for Information Systems.","Prairie View A and M University, United States; Copenhagen Business School, Denmark; University of Massachusetts, Amherst, United States",Case interpretation; Ethics; Fairness; Information Systems Development (ISD); Moral agent; Moral impulse; Moral responsibility; Postmodern ethics; Systems analyst,Information systems; Information use; Management information systems; Ethics; Fairness; Information systems development; Moral agents; Moral impulse; Moral responsibility; Postmodern ethics; Systems analysts; Philosophical aspects,Research article,Article,IS development,Organization,USA,Normative,Postmodern ethics (Bauman),Interpretive case study,Theoretical,Telecommunications,0,0,0,0,Anti-realism; Subjectivism; Relativism; Non-cognitivism,Explicit
Martinsons M.G.; Ma D.,Sub-cultural differences in information ethics across China: Focus on Chinese management generation gaps,2009,Journal of the Association for Information Systems,17,45,"We combined scenarios based on information ethics issues identified by Mason (privacy, accuracy, property, and access) with questions based on the stages of moral development proposed by Kohlberg to empirically test two theories rooted in sociology: generational subculture theory and life-cycle theory. Evidence from more than 1,100 managers across China strongly supports generational subculture theory by revealing significant differences in information ethics among the Republican, Revolutionary, and Reform generations. The generation gaps suggest that events such as the Cultural Revolution as well as the implementation of both the Open Door Policy and the One-Child Policy have shaped the information ethics of Chinese managers. We also discovered fundamental tensions between Western moral philosophies (based on rules, democracy, individual rights, and personal freedoms) and the traditions of Chinese culture (based on relationships, hierarchy, collective responsibilities, and social harmony). The ethical dimensions of the evolution from traditional China to modern China, and from particularistic trust to systemic trust, are discussed. Combined with previous Chinese management research by Martinsons, our study implies that it will be difficult to resolve data privacy and intellectual property issues. It also raises concerns about cross-cultural research such as GLOBE and Hofstede that rely on narrow demographic samples. Further research is recommended to examine the information and knowledge management of Baby Boomers, Generation X, Generation Y (or Millennial Generation), and other sub-cultural groups, in order to determine the generalizability of ""doing the right thing"". © 2009, by the Association for Information Systems.","City University of Hong Kong, Hong Kong, Hong Kong; Pacific Rim Institute for Studies of Management, Hong Kong; Chinese Academy of Social Sciences, Tsinghua University, Beijing, China",,Data privacy; Knowledge management; Life cycle; Philosophical aspects; Chinese culture; Cultural difference; Ethics issues; Information ethics; Kohlberg; Life cycle theories; Moral development; Moral philosophy; Property; Scenario-based; Managers,Research article,Article,IS ethics,Individual; organization,China; usa,Empirical descriptive,Kohlberg,Survey; scenarios,Empirical,Cross sectoral,0,0,0,1,Relativism; Non-cognitivism,Explicit
Culnan M.J.; Williams C.C.,How ethics can enhance organizational privacy: Lessons from the ChoicePoint and TJX data breaches,2009,MIS Quarterly: Management Information Systems,14,252,"Protecting the privacy of personal information continues to pose significant challenges for organizations. Because consumers are vulnerable in their dealings with businesses due to a lack of information about and an inability to control the subsequent use of their personal information, we argue that organizations have a moral responsibility to these individuals to avoid causing harm and to take reasonable precautions toward that end. We further argue that firms can enhance their privacy programs by moving beyond merely complying with laws and other regulations and creating a culture of integrity that combines a concern for the law with an emphasis on managerial responsibility for the firm's organizational privacy behaviors. We use two high-profile data breaches experienced by two U.S. companies, ChoicePoint and TJX, to illustrate our arguments for enhancing organizational level privacy programs based on ethical reasoning. In doing so, this paper contributes to the dearth of prior organizationallevel privacy research, which has largely overlooked ethical issues or the personal harms often caused by privacy violations. We conclude with recommendations for ways organizations can improve their privacy programs by incorporating moral responsibility.","IPM Department, Bentley University, Waltham, MA 02452, 175 Forest Street, United States; Management Department, Bentley University, Waltham, MA 02452, 175 Forest Street, United States",Information ethics; Information management practices; Information risk management; Moral responsibility; Organizational privacy,Information management; Laws and legislation; Philosophical aspects; Risk management; Ethical issues; Information ethics; Information risk managements; Moral responsibility; Organizational levels; Personal information; Privacy violation; Profile data; Data privacy,Issues and opinions,Issues and opinions,IS ethics; privacy,Organization,USA,Normative,None,Comparative case study,Theoretical,Cross sectoral,0,0,0,1,Objectivism,Implicit
Mingers J.; Walsham G.,Toward ethical information systems: The contribution of discourse ethics,2010,MIS Quarterly: Management Information Systems,15,223,"Ethics is important in the Information Systems field as illustrated by the direct effect of the Sarbanes-Oxley Act on the work of IS professionals. There is a substantial literature on ethical issues surrounding computing and information technology in the contemporary world, but much of this work is not published nor widely cited in the mainstream IS literature. The purpose of this paper is to offer one contribution to an increased emphasis on ethics in the IS field. The distinctive contribution is a focus on Habermas's discourse ethics. After outlining some traditional theories of ethics and morality, the literature on IS and ethics is reviewed, and then the paper details the development of discourse ethics. Discourse ethics is different from other approaches to ethics as it is grounded in actual debates between those affected by decisions and proposals. Recognizing that the theory could be considered rather abstract, the paper discusses the need to pragmatize discourse ethics for the IS field through, for example, the use of existing techniques such as soft systems methodology. In addition, the practical potential of the theory is illustrated through a discussion of its application to specific IS topic areas including Web 2.0, open source software, the digital divide, and the UK biometric identity card scheme. The final section summarizes ways in which the paper could be used in IS research, teaching, and practice.","Kent Business School, University of Kent, Canterbury CT7 2PE, United Kingdom; Judge Business School, University of Cambridge, Cambridge CB2 1AG, Trumpington Street, United Kingdom",Deliberative democracy; Discourse ethics; Ethical theories; Ethics and IS; Habermas; Soft systems methodology,Application programs; Computation theory; Information systems; Information use; Open source software; Open systems; Deliberative democracy; Discourse ethics; Ethical theories; Habermas; Soft systems methodology; Philosophical aspects,Theory and review,Theory and Review,IS ethics,Disciplinary,UK; global,Normative,Discourse ethics,Conceptual analysis,Theoretical,Cross sectoral,1,0,0,0,Constructivism; Cognitivism; Relativism,Implicit
Myers M.D.; Klein H.K.,A set of principles for conducting critical research in information systems,2011,MIS Quarterly: Management Information Systems,19,338,"While criteria or principles for conducting positivist and interpretive research have been widely discussed in the IS research literature, criteria or principles for critical research are lacking. Therefore, the purpose of this paper is to propose a set of principles for the conduct of critical research in information systems. We examine the nature of the critical research perspective, clarify its significance, and review its major discourses, recognizing that its mission and methods cannot be captured by a fixed set of criteria once and for all, particularly as multiple approaches are still in the process of defining their identity. However, we suggest it is possible to formulate a set of principles capturing some of the commonalities of those approaches that have so far become most visible in the IS research literature. The usefulness of the principles is illustrated by analyzing three critical field studies in information systems. We hope that this paper will further reflection and debate on the important subject of grounding critical research methodology.","Department of Information Systems and Operations Management, University of Auckland Business School, Auckland 1142, New Zealand; School of Management, State University of New York at Binghamton, Binghamton, NY 13902-6000, United States",Critical perspective; Critical research; Ethics; Interpretive perspective; Research methods; Values,Information systems; Critical perspectives; Critical researches; Ethics; Interpretive perspective; Values; Information use,Research essay,Article,IS discipline,Disciplinary,Global,Normative,"Critical Theory (Habermas, Bourdieu, Foucault)",Interpretive conceptual analysis,Methodological,Cross sectoral,0,0,0,0,Constructivism; Cognitivism,Implicit
Berente N.; Gal U.; Hansen S.,Ethical implications of social stratification in information systems research,2011,Information Systems Journal,25,14,"When investigating the use of information systems within organizations, researchers inevitably make decisions relating to the classification, or 'stratification', of information technology users. Most commonly, users are stratified along functional boundaries or by their membership in various communities of practice. It is important to note, however, that any such method of social stratification necessarily focuses the attention of a researcher on certain issues while unavoidably downplaying or neglecting other concerns. Individuals whose interests, values or identification align with these neglected issues may be inadvertently marginalized by the research approach. This observation suggests a range of ethical concerns related to the methods of social stratification used by researchers. In this paper, we argue that the method by which information systems researchers stratify organizational actors in their research has significant ethical implications. We propose a framework that maps stratification strategies that researchers bring to their analyses using Weber's theory of stratification and the dimensions of class, status and party, in conjunction with his distinction between heterogeneous and homogenous forms of work. We offer illustrative theoretical lenses for each category in the framework and demonstrate how each lens favours certain issues and potentially neglects others. © 2010 Blackwell Publishing Ltd.","University of Georgia, Athens, GA, United States; Copenhagen Business School, Copenhagen, Denmark; Rochester Institute of Technology, Rochester, NY, United States",Critical social theory; Information ethics; IT users; Social stratification,Classification (of information); Philosophical aspects; Research; Communities of Practice; Ethical concerns; Ethical implications; Information ethics; IT users; Research approach; Social stratification; Social theory; Information systems,Research article,Article,IS discipline,Disciplinary,Global,Normative,Critical theory; deontology; teleology,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,0,Anti-realism; Subjectivism; Relativism,Explicit
White Baker E.,Why situational method engineering is useful to information systems development,2011,Information Systems Journal,19,14,"Effective methods and methodologies for building information systems (IS) remain crucial to building successful IS. This paper investigates the use of situational method engineering for IS development (ISD) projects in a professional bureaucracy. This specialist organization methodology (SOM) is built starting with the philosophy of ISD moving through to flexible, amethodical implementation methods, a proposed instance of situational method engineering that is targeted towards professional bureaucracies. An in-depth philosophical discussion of the ontological, epistemological, research methodological and ethical underpinnings of SOM are outlined, in addition to its limitations, to develop the building blocks of a methodology to implement within a professional bureaucracy organization ISD scenario. Amethodical ISD will be introduced as the appropriate way to implement this developed methodology to build a successful IS. The contribution of this paper is to detail how to develop a philosophically consistent methodology for a specific organizational environment (in this case, using the specific organizational example of a professional bureaucracy) that, when combined with developers and tools, can create a method to be applied to build an IS that has a greater possibility of successful organizational adoption than an IS built using a method devised using more common IS method engineering approaches. © 2010 Blackwell Publishing Ltd.","Department of Economics and Business, Virginia Military Institute, Lexington, VA, United States",Amethodical systems development; Information systems development; ISD approach; Philosophical foundations of ISD; Situational method engineering,Management information systems; Ontology; Philosophical aspects; Professional aspects; Information systems development; ISD approach; Philosophical foundations of ISD; Situational Method Engineering; Systems development; Information systems,Research article,Article,IS development,Organization; social,Global,Normative,None; social relativism,Conceptual anlaysis,Theoretical; methodological,Software,0,0,0,0,Relativism; Anti-realism,Explicit
Jeff Smith H.; Dinev T.; Xu H.,Information privacy research: An interdisciplinary review,2011,MIS Quarterly: Management Information Systems,26,1699,"To date, many important threads of information privacy research have developed, but these threads have not been woven together into a cohesive fabric. This paper provides an interdisciplinary review of privacy-related research in order to enable a more cohesive treatment. With a sample of 320 privacy articles and 128 books and book sections, we classify previous literature in two ways: (1) using an ethics-based nomenclature of normative, purely descriptive, and empirically descriptive, and (2) based on their level of analysis: individual, group, organizational, and societal. Based upon our analyses via these two classification approaches, we identify three major areas in which previous research contributions reside: the conceptualization of information privacy, the relationship between information privacy and other constructs, and the contextual nature of these relationships. As we consider these major areas, we draw three overarching conclusions. First, there are many theoretical developments in the body of normative and purely descriptive studies that have not been addressed in empirical research on privacy. Rigorous studies that either trace processes associated with, or test implied assertions from, these value-laden arguments could add great value. Second, some of the levels of analysis have received less attention in certain contexts than have others in the research to date. Future empirical studies-both positivist and interpretive-could profitably be targeted to these under-researched levels of analysis. Third, positivist empirical studies will add the greatest value if they focus on antecedents to privacy concerns and on actual outcomes. In that light, we recommend that researchers be alert to an overarching macro model that we term APCO (Antecedents → Privacy Concerns → Outcomes).","Department of Decision Sciences and Management Information Systems, Farmer School of Business, Miami University, Oxford, OH 45056, United States; Department of Information Technology and Operations Management, College of Business, Florida Atlantic University, Boca Raton, FL 33431, United States; College of Information Sciences and Technology, Pennsylvania State University, University Park, PA 16802, United States",Information privacy; Interdisciplinary; Multi-theory; Regulation; Society,Weaving; Information privacy; Interdisciplinary; Multi-theory; Regulation; Society; Classification (of information),Theory and review,Review,Privacy,Organization; social,Global,Empirical descriptive,None; deontology; stakeholder theory,Literature review,Theoretical,Cross sectoral,0,0,0,1,Underdetermined,Underdetermined
Chan R.Y.K.; Lai J.W.M.,Does ethical ideology affect software piracy attitude and behaviour An empirical investigation of computer users in China,2011,European Journal of Information Systems,14,35,"This study empirically examines Chinese computer users ethical ideology and its relationship to their software piracy attitude and behaviour. The investigation reveals several important findings. First, cluster analysis results show that Chinese computer users can be divided into four ethical ideology types (i.e., situationists, absolutists, subjectivists, and exceptionists) reasonably consistent with Forsyth's taxonomy. Second, when compared with situationists, absolutists, and exceptionists, subjectivists are found to have the least unfavourable attitude towards software piracy and are most frequently engaged in software piracy. Third, Chinese computer users ideological relativism exerts a stronger influence on their software piracy attitude and behaviour than does their ideological idealism. The findings suggest that the government, and authentic software developers and vendors should focus on subjectivists as their target audience of anti-software piracy communications. These policy makers and practitioners should also make concerted efforts to help subjectivists better realise how their software piracy act may damage parties proximate to themselves so as to lower the rate of software piracy. © 2011 Operational Research Society Ltd. All rights reserved.","Department of Management and Marketing, Hong Kong Polytechnic University, Kowloon 852, Hong Kong",China; computer users' ethics; ethical ideology; software piracy,Cluster analysis; Computer software; Philosophical aspects; China; Computer users; Empirical investigation; ethical ideology; Policy makers; Software developer; Target audience; Computer crime,Research article,Article,Piracy,Individual,China,Empirical descriptive,Forsyth theory of ethical ideologies,Survey; cluster analysis; regression,Empirical,Cross sectoral,0,0,0,0,Underdetermined,Underdetermined
Stahl B.C.,"Morality, ethics, and reflection: A categorization of normative IS research",2012,Journal of the Association for Information Systems,20,87,"Moral views and perceptions, their ethical evaluation and justification, and practical concerns about how to incorporate them all play important roles in research and practice in the information systems discipline. This paper develops a model of normative issues ranging from moral intuition and explicit morality to ethical theory and meta-ethical reflection. After showing that this normative model is relevant to IS and that it allows an improved understanding of normative issues, the paper discusses these levels of normativity in the context of two of the most prominent normative topics in IS: Privacy and intellectual property. The paper then suggests that a more explicit understanding of the different aspects of normativity would benefit IS research. This would leverage the traditional empirical strengths of IS research and use them to develop research that is relevant beyond the boundaries of the discipline. Such broader relevance could be aimed at the reference disciplines. In particular, moral philosophy could benefit from understanding information technology and its role in organizations in more detail. It could, furthermore, inform policy makers who are increasingly called on to regulate new information technologies.","De Montfort University, United Kingdom",Ethics; Intellectual Property; Morality; Normativity; Norms; Privacy,Information systems; Information use; Philosophical aspects; Ethical theories; Information systems disciplines; Moral philosophy; Morality; Norm; Normative models; Normativity; Policy makers; Privacy; Reference discipline; Intellectual property,Research article,Article,IS ethics,Disciplinary,Global,Normative,Deontology; consequentialism; virtue ethics; care ethics,Conceptual analysis,Theoretical,Research,1,0,0,1,Cognitivism,Explicit
Schultze U.; Mason R.O.,Studying cyborgs: Re-examining internet studies as human subjects research,2012,Journal of Information Technology,11,41,"Virtual communities and social networks assume and consume more aspects of people's lives. In these evolving social spaces, the boundaries between actual and virtual reality, between living individuals and their virtual bodies, and between private and public domains are becoming ever more blurred. As a result, users and their presentations of self, as expressed through virtual bodies, are increasingly entangled. Consequently, more and more Internet users are cyborgs. For this reason, the ethical guidelines necessary for Internet research need to be revisited. We contend that the IS community has paid insufficient attention to the ethics of Internet research. To this end, we develop an understanding of issues related to online human subjects research by distinguishing between a disembodied and an entangled view of the Internet. We outline a framework to guide investigators and research ethics committees in answering a key question in the age of cyborgism: When does a proposed Internet study deal with human subjects as opposed to digital material?","Cox School of Business, Southern Methodist University, Dallas TX 75275-0333, PO Box 750333, United States; Department of Information Technology and Operations Management, Southern Methodist University (SMU), United States; Emeritus, Edwin L. Cox School of Business, Southern Methodist University, Dallas, TX, United States",entanglement; human subjects; Internet research; living and virtual bodies; research ethics,Internet; Philosophical aspects; Research; Social networking (online); entanglement; Human subjects; Internet research; Research ethics; Virtual bodies; Virtual reality,Debates and Perspectives,Article,IS ethics; research ethics,Disciplinary,Global,Normative,None,Conceptual analysis; vignettes,Theoretical; policy,Research,0,0,0,1,Relativism; Cognitivism,Implicit
Walsham G.,Are we making a better world with ICTs? Reflections on a future agenda for the IS field,2012,Journal of Information Technology,6,281,"Dramatic changes in context have occurred over the last 25 years for those of us working in the information systems (IS) field, with ICTs becoming pervasive in many areas of human activity and in all countries of the world. It is ironic that the success of ICTs has led to concerns that the distinct research contribution of the IS field could become lost and that the field itself may decline. The literature over the last decade or so has offered different and sometimes opposing suggestions as to how the field should respond to these concerns. In this paper, I discuss these debates and I use the discussion as a basis for putting forward a skeleton future agenda for the IS field as a whole. This agenda emphasises the need for a focus on ethical goals, increased use of critical approaches, welcoming other disciplines with open arms, widening our field of study to many non-traditional settings and rejecting a dominant methodological paradigm. © 2012 JIT Palgrave Macmillan All rights reserved.","Judge Business School, University of Cambridge, Cambridge, CB2 1AG, Trumpington St., United Kingdom",critical approaches; ethics; future agenda; interdisciplinarity; IS field; methodology,Critical approach; ethics; future agenda; Interdisciplinarity; IS field; methodology; Philosophical aspects,Debates and Perspectives,Review,IS ethics;  research ethics,Disciplinary,Global,Normative,None,Conceptual analysis,Methodological,Research,0,0,0,0,Underdetermined,Underdetermined
Lee A.S.; Baskerville R.L.,Conceptualizing generalizability: New contributions and a reply,2012,MIS Quarterly: Management Information Systems,12,79,"Tsang and Williams offer some good and provocative ideas in their critique of our earlier article on generalizing and generalizability. In this essay we will advance some new ideas by building on those collected in both Tsang and Williams and our original article (Lee and Baskerville 2003). Because IS is a pluralist scientific discipline, one in which both qualitative and quantitative (and both interpretive and positivist) research approaches are valued, ""generalize"" is unlikely to be a viable term or concept if only one IS research paradigm may lay claim to it and excludes others from using it. Both papers agree on this point, but approach the problem differently. Where we originally generalized generalizability by offering new language, Tsang and Williams conceptualize generalizability by framing it more closely to its older, more statistically oriented form. We agree about the importance of induction and about the classification or taxonomy of different types of induction. We build further in this essay, advancing the ethical questions raised by generalization: A formulation of judgment calls that need to be made when generalizing a theory to a new setting. We further demonstrate how the process of generalizing may actually proceed, based on the common ground between Tsang and Williams and our original article. Copyright © 2012.","Virginia Commonwealth University, Richmond, VA 23284-4000, 301 West Main Street, United States; Georgia State University, Atlanta, GA 30302-4015, POB 4015, United States",Philosophical approach; Philosophy; Reference theory; Research approach; Type of theory,Management information systems; Philosophical approaches; Philosophy; Reference theory; Research approach; Type of theories; Philosophical aspects,Issues and opinions,Issues and opinions,IS discipline,Disciplinary,Global,Normative,None,Conceptual analysis,Methodological,Research,0,0,0,0,Underdetermined,Underdetermined
Elbanna A.; Newman M.,The rise and decline of the ETHICS methodology of systems implementation: Lessons for IS research,2013,Journal of Information Technology,12,13,"Professor Mumford has contributed significantly to the information system (IS) field. Among her achievements and pioneering thinking is the development of an integrated methodology for systems implementation named Effective Technical and Human Implementation of Computer Systems (ETHICS) that incorporates job design as part of the systems planning and implementation effort. This study questions why ETHICS initially rose in popularity and then declined over the years. To answer this question, we apply Latour's (1999) five-loop framework to describe the formation of science. The findings reveal that Mumford held and aligned many heterogeneous actors and resources that together contributed to the shaping of ETHICS. As the content of ETHICS was shaped by the intertwining of many elements, when some of these elements later changed and undermined their previous alignment, the content of ETHICS was not reshaped, and hence it lost its status and declined. The paper ends by drawing more general lessons for IS research. © 2013 JIT Palgrave Macmillan All rights reserved.","School of Management, Royal Holloway, University of London, Egham, Surrey TW20 0EX, United Kingdom; Manchester Business School, University of Manchester, Manchester, United Kingdom",Actor Network Theory; ETHICS; formation of science; Information systems implementation; participation; Social Process Model,Information systems; Actor network theory; ETHICS; formation of science; Information systems implementation; participation; Social process; Philosophical aspects,Research article,Article,IS implementation,Disciplinary,Global,Normative,Sociotechnical design (ETHICS),Case study; interviews,Methodological,Research,0,0,0,0,Constructivism,Implicit
